AtomN;Elem;Oxide;AtomMass;MolecMass;ElemToOx;OxToElem;Cations;Valency;O
1;H;H2O;1.00794;18.01488;8.936484315;0.111900829;2;1;1
3;Li;Li2O;6.941;29.881;2.15249964;0.464576152;2;1;1
4;Be;BeO;9.012182;25.011182;2.775263749;0.360326113;1;2;1
5;B;B2O3;10.811;69.619;3.219822403;0.310576136;2;3;3
6;C;CO2;12.0107;44.0087;3.664124489;0.272916492;1;4;2
11;Na;Na2O;22.98976928;61.97853856;1.347959125;0.741862258;2;1;1
12;Mg;MgO;24.305;40.304;1.658259617;0.603041882;1;2;1
13;Al;Al2O3;26.9815386;101.9600772;1.889441494;0.529256928;2;3;3
14;Si;SiO2;28.0855;60.0835;2.13930676;0.467441144;1;4;2
15;P;P2O5;30.973762;141.942524;2.291334905;0.436426817;2;5;5
16;S;SO3;32.065;80.062;2.496865741;0.400502111;1;6;3
19;K;K2O;39.0983;94.1956;1.204599688;0.830151302;2;1;1
20;Ca;CaO;40.078;56.077;1.399196567;0.714695865;1;2;1
21;Sc;Sc2O3;44.955912;137.908824;1.533823004;0.651965707;2;3;3
22;Ti;TiO2;47.867;79.865;1.668477239;0.599348901;1;4;2
23;V;V2O5;50.9415;181.878;1.785165337;0.560172203;2;5;5
24;Cr;Cr2O5;51.9961;183.9872;1.769240385;0.565214319;2;5;5
24;Cr;Cr2O3;51.9961;151.9892;1.461544231;0.684207825;2;3;3
25;Mn;MnO;54.938045;70.937045;1.291218954;0.77446199;1;2;1
25;Mn;MnO2;54.938045;86.936045;1.582437908;0.631936327;1;4;2
25;Mn;Mn2O3;54.938045;157.87309;1.436828431;0.69597732;2;3;3
26;Fe;Fe2O3;55.845;159.687;1.429734085;0.699430761;2;3;3
26;Fe;FeO;55.845;71.844;1.28648939;0.77730917;1;2;1
27;Co;Co2O3;58.933195;165.86339;1.407215322;0.710623303;2;3;3
27;Co;Co3O4;58.933195;240.795585;1.361969175;0.734231008;3;2.7;4
27;Co;CoO;58.933195;74.932195;1.271476882;0.78648697;1;2;1
28;Ni;NiO;58.6934;74.6924;1.272586015;0.785801501;1;2;1
29;Cu;CuO;63.546;79.545;1.251770371;0.798868565;1;2;1
30;Zn;ZnO;65.409;81.408;1.244599367;0.803471403;1;2;1
31;Ga;Ga2O3;69.723;187.443;1.344197754;0.743938157;2;3;3
32;Ge;GeO2;72.64;104.638;1.440501101;0.694202871;1;4;2
33;As;As2O3;74.9216;197.8402;1.320314836;0.75739511;2;3;3
34;Se;SeO2;78.96;110.958;1.405243161;0.711620613;1;4;2
37;Rb;Rb2O;85.4678;186.9346;1.093596653;0.914413918;2;1;1
38;Sr;SrO;87.62;103.619;1.182595298;0.845597815;1;2;1
39;Y;Y2O3;88.90585;225.8087;1.269931619;0.787443974;2;3;3
40;Zr;ZrO2;91.224;123.222;1.350762957;0.740322345;1;4;2
41;Nb;Nb2O5;92.90638;265.80776;1.430514029;0.699049418;2;5;5
42;Mo;MoO3;95.94;143.937;1.500281426;0.666541612;1;6;3
44;Ru;RuO4;101.07;165.066;1.633184921;0.612300534;1;8;4
46;Pd;PdO;106.42;122.419;1.150338282;0.869309503;1;2;1
47;Ag;Ag2O;107.8682;231.7354;1.074159947;0.930960052;2;1;1
48;Cd;CdO;112.411;128.41;1.142325929;0.8754069;1;2;1
49;In;In2O3;114.818;277.633;1.209013395;0.827120695;2;3;3
50;Sn;SnO2;118.71;150.708;1.269547637;0.78768214;1;4;2
51;Sb;Sb2O5;121.76;323.515;1.32849458;0.752731713;2;5;5
52;Te;TeO2;127.6;159.598;1.250768025;0.799508766;1;4;2
55;Cs;Cs2O;132.9054519;281.8099038;1.060189404;0.943227687;2;1;1
56;Ba;BaO;137.327;153.326;1.116502946;0.895653705;1;2;1
