Samp,Amp,ID,frame,SEM,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Ba
150,01A,1,A,Hollandite,37.9,,0.2,5.5,5.0,,0.3,,,,27.2,15.5,,1.1,,7.3
150,01A,2,A,Chamosite/Goethite,40.6,,0.2,10.0,11.8,,,,,1.1,,36.3,,,,
150,01A,4,A,Mag/Hem,37.6,,0.2,1.9,1.2,,,,,0.7,,58.4,,,,
150,01A,5,A,Mag/Hem,36.7,,,1.0,1.5,,,,,0.4,,60.4,,,,
150,01A,6,A,Asb/Lithp,35.7,,1.4,2.1,8.3,,,,,,15.5,11.1,5.6,20.3,,
150,01A,7,A,Asb/Lithp,37.2,,1.0,1.6,10.5,,,,,,13.0,12.0,5.1,19.7,,
150,01A,8,A,Asb/Lithp,37.2,,0.7,3.7,8.8,,,,0.8,,9.1,23.3,3.6,10.8,1.9,
150,01A,1,B,Sp,38.0,,9.3,24.5,,,,,,15.2,,13.0,,,,
150,01A,2,B,Sp,36.4,,8.9,20.7,,,,,,19.6,,14.4,,,,
150,01A,3,B,Sp,37.0,,8.0,22.3,,,,,,17.0,,15.7,,,,
150,01A,4,B,Asb,34.6,,0.7,1.9,3.4,,,,,,26.3,5.7,7.7,14.2,3.9,1.6
150,01A,5,B,Mag,38.6,,1.3,1.9,1.1,,,,,0.5,1.8,54.9,,,,
150,01A,6,B,Sp,36.9,,7.5,22.5,,,,,,14.0,,19.1,,,,
150,01A,7,B,Lz,49.9,,25.2,,22.2,,,,,,,2.8,,,,
150,01A,8,B,Sp,38.5,,9.5,25.0,,,,,,14.7,,12.4,,,,
150,01A,9,B,Sp,37.9,,9.8,24.5,,,,,,15.3,,12.5,,,,
150,01A,10,B,Sp,39.2,,9.2,29.1,,,,,,10.1,,12.4,,,,
150,01A,11,B,Sp,36.8,,9.2,21.7,,,,,,18.6,,13.7,,,,
150,01A,12,B,Mag,29.6,,1.1,,1.1,,,,,,1.3,66.8,,,,
150,01A,13,B,Asb,34.1,,1.5,2.6,5.8,,,,,,23.0,6.9,4.5,18.1,3.4,
150,01A,14,B,Ruim,32.2,,0.5,,4.1,,,,,,0.7,56.3,,6.1,,
150,01A,15,B,Mag,27.6,,0.9,0.3,1.5,,,,,,,69.0,,0.8,,
150,01A,1,C,Sp,38.1,,9.7,25.4,,,,,,13.8,,13.0,,,,
150,01A,2,C,Sp,38.5,,10.1,25.5,,,,,,13.1,,12.8,,,,
150,01A,3,C,Mag,32.6,,4.7,2.4,2.8,,,,0.5,12.5,0.6,43.9,,,,
150,01A,4,C,Mag,30.3,,0.3,,0.3,,,,,,,69.1,,,,
150,01A,5,C,Lz/Tlc,51.5,,23.8,0.2,22.7,,,,,,,1.8,,,,
150,01A,6,C,Sp,36.6,,8.7,23.3,,,,,,16.3,,15.1,,,,
150,01A,7,C,Sp,36.5,,8.1,20.9,,,,,0.2,18.8,,15.5,,,,
150,01A,8,C,Sp,35.8,,7.5,20.2,,,,,0.2,19.1,,17.1,,,,
150,01A,9,C,Sp,35.8,,7.5,20.1,,,,,0.2,19.6,,16.8,,,,
150,01A,10,C,Chl / Sme,50.2,,22.2,6.1,18.3,,,,,0.4,,2.8,,,,
150,01A,11,C,Mag,32.0,,0.1,0.1,0.4,,,,,,,67.1,,,,
150,01A,12,C,Ruim,38.3,,0.3,4.9,7.4,,0.2,,,1.2,,45.6,,1.2,0.8,
150,01A,1,D,Mag,29.5,,0.2,,0.5,,,,,,,69.9,,,,
150,01A,2,D,Sp,37.4,,7.9,22.1,,,,,0.2,18.4,,14.0,,,,
150,01A,3,D,Sp,36.8,,8.6,21.8,,,,,0.2,18.3,,14.4,,,,
150,01A,4,D,Sp,35.7,,8.1,20.5,,,,,0.2,17.8,,17.6,,,,
150,01A,5,D,Lz,44.2,0.2,19.5,0.4,22.8,,,,,0.4,,8.0,,4.4,,
150,01A,6,D,Mag,29.3,,,,,,,,,1.2,,69.4,,,,
